id_author,author,text,sentimen
UCFzhO1zb2mEi-LNpALFQ2LQ,@dolken0999,"💚Bravo, Minister of Defense 🇲🇨💚",Netral
UCAAMvlp0-zOdYXfE3StiX1g,@JayNb-o8n,Indonesia memang cocok di pimpin bekas militer,Negatif
UCGbwT4ty4CbZN777pBBk-EA,@SusiloCp,Pantesan banyak tenaga kerja ena China numpuk...di indonesia..ini biangnya bandara aneh...GK inget tenaga kerja indonesia ribut cina kbarnya adem ayem... Ini harus di usutt..kacauu,Negatif
UCa0Bs4afVhrmCTH4NJr_u5g,@Sakhieliofamilly,Miris nyaaaa..,Negatif
UCRlNxQGhd-EtT1Lkmwm-Jow,@idahidayat-f2s,Betul pk kalau ada pengamat yg ngebahas pasti itu pengikut ya semangat PK biar rakyat senang melihat ya mung bukan Morowali aja PK cek tempat yg lain kaya ya masih ada,Netral
UCLg3NqlWZXDGNyuO5MyGvBQ,@RiyantoWisataJogjawa,"Lanjutkan
❤❤❤❤❤",Positif
UCBH04mhuBUGDc6dR6z9JQeQ,@wulungjawa9992,"Bukanya dulu menhannya pak Prabowo, kok ngak tau",Negatif
UCb_GB9EiURKXCKC6sfUQywg,@LissaSribudara,Mesti diusut dan diperiksa siapa2 aja yg SDH masuk ke Morowali dari negara lain...!!! Bahaya untuk keamanan negeri ini...periksa lagi bandara2 lain...mngkn ada lagi yg sept IMIP ini..di kota2 lain di Indonesia!,Negatif
UCpOpNPUHnsi9VrzrEBWc0Pw,@AniRohani-u3f,Yang kurang ngajarmah LBP tu tangkap dan buang ke Masalembo,Negatif
UCWWtK342tKVrT_d1eFMgQ4A,@supardi3115,"Sbaiknya tanya dulu komendan TNI AU, tak usah merasa sok benar jika blm paham aturan",Netral
UCRv3C1ZoIbh540vPbkDjgzQ,@cahaxaalam6255,penjarakan jokodok,Negatif
UCOZ-Op6SSAYErlMuhFth-kQ,@DeniNardiyansah,Berarti TNI katanya menjaga negri ini bohong masa ada yg menjajah menguasai negri ini ga ketahuan ....?,Negatif
UCGX-rbw8xeq3P2exRfNieKA,@aqilaazka3993,Seeepp......YANG TERPENTING......SIAPA YG AKAN DITANGKAP??!!,Netral
UCOhpGdvGnt7xGIs1NIUJgFA,@muhammadaris4374,Mulyono serettt pasti dia tau sm menteri perhub. Dieranya...,Negatif
UCGHC4flRVvp6eq7NoneomBg,@FathulAlex-vv5uy,Ulah 10 tahun menjabat,Negatif
UC1p723yKukuGddbmcuN53Pw,@alfaizideska8078,Diobok obok antek antek oligarki...,Negatif
UCA_KeEYsUPAgiJMowK6RgyQ,@jiong0464,"Om....kenapa mentrinya banyak yg model begini sih Om...payah, BLUNDER BLUNDER Pak sapri waspada HARUS tapi jangan GAGAP begini. Jadi BLUNDER......PAK memalukan.",Negatif
UC70Ga6KhV_EPBc8qE_BITgA,@riniwidyastuti3928,"Lucu juga pertanyaannya koq bisa , sebetulnya disitu kan ada bupati,gubernur, seharusnya ya tahu diatu ada bandara tdk ada bea cukai dan imigrasi",Negatif
UCSj1nw9QVJ5CiS6fiwP_uxQ,@widodopare4817,Tertipkan bos,Negatif
UC_XvkNv2Cp_gZ_dyMFG5QEQ,@edisukmanto2917,Halo pak Luhut Binsar panjaitan,Netral
UCYh5T7REWa62dlbMtElgNeQ,@TBputumardani,Panglima pura pura gak tau😂,Negatif
UC9t9zgqyksJpGEnPw2HEDCQ,@SuebSetro,Ambil tidakn yg tegas pk secepat nya jelas ada koropsi nya,Negatif
UCid4gAKhWb5c3RtaWARBmeg,@KuyatYondog,Harusnya diinvestigasi dulu..panggil pihak terkait menyangkut regulasi operasional..kalo main langsung umumkan begini malah blunder..,Negatif
UCQPNAO1_wcnxAeezvJzUlgQ,@zizan_aditya,"Pura2 ga tau.. jelas2 di website IMIP aj ad, knp baru skrg rame..

Nanti jg pura2 g tau lg kalo ad bandara di IWIP weda bay..😂😂",Negatif
UCcrSBVPf9obH3DnrxavuqOA,@rifandibaker8794,"Pak jendral jangan kebanyakan omong ya pak, buktikan dengan mengadili penjahat besar mulyono, eluhut beserta kroni dan termulnya",Negatif
UCcrSBVPf9obH3DnrxavuqOA,@rifandibaker8794,Adili mulyono dan termulnya,Negatif
UCvCxBvt0orLUjgxJtOsftvQ,@yakfirmansyah484,Jangan heboh saja pak buktikan klo mang bandara itu ilegal tanpa pengawasan oleh aparat RI,Negatif
UC7X8C5mAfEv43sRpqhW_ibQ,@Hlchanel74,ga mungkin aparat tdk tahu soal bandara itu. jd pertahanan kita bobrok,Negatif
UClT-LX9KDnthg7M-ra9WHRw,@armanmulyadi2846,Itu pasti jokowi terlubat,Negatif
UCROzTuy1KJNoBTET43i2Q2w,@AliBima-e8q,"Dari tgl 8 agustus 2025 sudah jdi bandara internasional jdi bukan ilegal masa sih ka gak ada yg tau dari dulu ada bandara ? 
Kenapa judulnya ada nama jokowinya...penggiringan opini seolah olah jokowi yang salah😂😂😂😂...
Yang berkepentingan lewat media tau rakyat gampang dikibulin dengan berita sepotong sepotong... 😂😂😂😂😂 duh mau aja dikibulin kapan mikirnya",Negatif
UChNno8Zy3sNTornlLVIwizA,@budygoupall7,Hayoooooo.... Mana ni projo... Jangan2... 🤣.. Kok di bilang bersih bnyak sekali ketimpangan.. Pnyimpangan di era joko...,Negatif
UCjtJcf4q0cb4Ee97yArCj3g,@hasanhanafi4398,Ada lapangan  husus. Jet di lelilef kemarin SDH ada pesawat yg lending,Netral
UCKCLrJrUQ0Uwazy-xos5h-w,@fachruddin468,pak prabowo anda harus beri tindakan tegas adili orang yg ter indikasi ini ada penghianat bangsa,Negatif
UCQ2zciSvm98tWSNqSkWOWPg,@fitripasya,"Yang beri izin kudu di kenakan hukum ini mah, jelasss...ini kerugian negara. Pak tom yg tdk merugikan aja kena tuduh apalagi ini jelas²an...siapapun yg beri izin kudu di hukum ni.",Negatif
UCSQYh_9ArpqZJiJWinD2WKg,@cenicenia,"pga usah bwa"". negara",Negatif
UCSQYh_9ArpqZJiJWinD2WKg,@cenicenia,"uddah pak menham..klo udah tau sikat aja jngan banyak basa basi,rakyat udah tau cara kong...kalokong",Negatif
UC4rGGc9VnACg2siz3zr9A3A,@ArifMaulana-y1x,Hancuuuur Indonesia ku😢😢😢,Positif
UCTiJZW6R5HTrnvi4xznIYPQ,@HafizaNooraddien,bener2 penghianat bangsa... miris...,Negatif
UCy5Nxo-k6UMNj_6XWokcu_g,@dewichaltorowati5789,"Jangan asal tuduh,selidiki dulu siapa yg punya.",Netral
UCg7O0Yc5G0YkXl9aY7TF9OA,@ekatriana5963,Parah memang Jokomul,Negatif
UCd5y-JJ1r-nZThcPQJmlNug,@rayhanps8716,mengapa pak gatot kemarin dicopot...karena pak gatot sudah menduga ada yg tidak beres di morowali..tapi sayang pak gatot tidak ada yg mendukungnya,Negatif
UCQcPnGlC-b6BfoFX_gM5Vpw,@Rakyat_RI,Tinggal nunggu kiamat ajalah pasti bakal di bersihin semua,Negatif
UCeJldoIE8VTwhPvpzLYi0VQ,@saidisiagian8909,ko bisa dimana mata rakyat yg ada di kabupatennya,Negatif
UCY-SnWpxvckuPmjCVzsvaHw,@wantopenggaron158,Cepat terjunkan petugas pak jangan sampai di injak2 bangsa lain,Negatif
UCT5iGQyRHgW_rhy256Ifshw,@ToniTjintawan,Prabowo era jokowi sebagai Menhan.. gimana tuh.. ?  katanya macan asia.. ?,Netral
UCsRMekHzOGa9sKi2ha9sGjw,@agungsusetyo,Dulu Kan Menhan nya Prabowo Kok Dia Diem Aja,Negatif
UCYesH1ZQbOLjHw-_u9L7U4g,@juanijuan9017,Siapa  yg memberi ijin usut  gak sampai ke akar  akar nya,Negatif
UCok3cB-ZV5O2jcc_FqCEZwQ,@mainankesayangannoya512,Era siapa ini....yg resmikan siapa ?,Negatif
UCN4TtmZP3r4KGjcsS8whoKA,@alipsunaryo,"Masa gak bisa di usut ?
Mau gak di usut ?
Berani gak ???
Cuma di negri konoha 😂😂😂 ada bandara, negara tidak tau 😂😂😂",Negatif
UCpFL_6loGqryYhAYwzH37Cw,@rizalnugraha1785,Tanyakan jokowi dan mantan mentri2 nya,Netral
UCXP51_yuCm0slzR0f7M1-hQ,@marlinwijaya3202,"Yg atur msh bebas dari hukum di NKRI. Knp KKRI membabskan pengkhianat negara...... Jkw, LBP.. dan rombongannya termul",Negatif
UCXP51_yuCm0slzR0f7M1-hQ,@marlinwijaya3202,"Knp bs sampai saat ini, orh yg bikin msh di Sebastian oleh negara dr tindakan pengkhianatan the NKRI. Pastinya Jokodok dan LBP ?????",Negatif
UC6rR7Yti-Y0VYIL7zXFBMZQ,@julnaidi5444,Musuh negara yg nyata ini...,Negatif
UCtbMiJrJqPH_Mw3vdbYiS7A,@eddyhardianto5076,"Nanti kata Jokowi, Ndak tau kok tanya saya😂",Netral
UCiQ5zKthv4ZkasMTSHN1pFA,@SoewarnoCepu,GANTI LAPANGAN TERBANG TNI .BIAR IND LEBIH KUWAT TDK DIKENDALIKKAN ASING,Negatif
UCuoCpT-ej4f9DLjKsLS7FKQ,@rasyadkelkusa,Benar benar keterlaluan. Pemerintahan sebelumnya.,Negatif
UCcL6GZ2H9S9a6GXz2_7BHuw,@Ruminah-v3w,"❤mudeng wowo senyap, seret nusakambangan mogi mogi# grilya senyap seakar akar # jokower cs sistimik luhut jenderal peko❤",Negatif
UC7SHiD7HfaNpvOvwbMQUuzA,@odirridho,selama itu masak gak liat ada bandara segede itu,Negatif
UCIjc8eYqo7gd3ovq-ONuBxg,@sudadimiran6719,Miris ...siapa yang berani sama pak mukidi  Sudah dikendalikan tunduk nurut ikuti perintah. Uang maha segala galanya.,Negatif
UCVTRuytD2J1-oREDM0bZMJg,@ZainalBinbennu-i1y,Si jokowi dan luhut harus bertanggung jawab,Negatif
UCTjHFVlv0L6iLkbNt4cPDKw,@gumilanggumilang88,Sampe kejadian kaya gini ini kan jelas nih ada orang jahat yg berperan sebagai pejabat atau pimpinan negar,Negatif
UC1hUt40s3Tkj9yTqnAaPdHA,@jamalakbar8817,"Giloo Mulyono,,,",Negatif
UC7H-Bcj1g7JajCGYEEIZiFw,@yogaandy7249,Negara sakit. Kaya nggk punya kedaulatan.,Negatif
UCptsqwM1e0RUpmuqyFYyX9Q,@masdukicilegon9540,ini sudah termasuk penghianatan NKRI  hukumnya wajib di tindak dan di hukum seberat2nya  tanpa pandang bulu siapapun yg terlibat harus di hukum jendral,Negatif
UCAy19Y-GVuVMSqqlqZmPfUA,@RiyadiIbss,"YA GAK USAH REPOT,YGTERLIBAT TANGKAP APAPUN JUGA POSISI DAN JABATANNYA....JANGAN HANYA OMON2 SAJA....
MANA UU PERAMPASAN ASSET KOK MANGKRAK ???",Negatif
UCTEO9dEF1UpUetdjPNgFNJQ,@mdwiatmanto781,"Percuma, hanya narasi, semua pengelolah negara sudah ditangan JKW,,,,,nanti kayak masuk angin,   Wooosh",Negatif
UCTEO9dEF1UpUetdjPNgFNJQ,@mdwiatmanto781,"Ini menunjukkan pejabat RI yg korupsi sudah ditangan JKW, makanya dari dulu sampai skr yg dilakukan jkw apapun itu selalu dibiarkan, bahkan  
Soal ijazahnyapun dilindungi oknum negara, Sejarah pasti mencatatnya,,,,",Negatif
UCjlO4aldSDkacH2ztbQb6xw,@kampung1987,WAH ..BAHAYA JUGA INI JOKOWI DULU SAMA PERANGKAT2 JOKOWI...HARUS DI PERIKSA HARUS DI ADILI DAN DI HUKUM2 SEBERAT2NYA...GILAAAAAA,Negatif
UCrq_UbCfzilwT5XaoB3Vihg,@MilanBaros-h2n,Alhamdulillah semakin muncul pejabat yg cinta bangsa & negara terimakasih bapak,Positif
UCQzij1yENO5QBCie8HzWxaw,@PujiRahayu-s4z,Engingeng  wah Indonesia emas bakal terjadi tercapai terlaksana  pertanyaan nya  NAPA baru sekarang  ini terjadi  imbas banyak penganguran   sarjana pun hanya jadi tukang ojek  sarjana jadi tukang parkir,Negatif
UClpSPxZYmY0Vndur-NqOp_g,@TengkuPangeran,Negara ini kacau karena para rakyat bodoh yg memilih mulyono jadi pemimpin di pemilu 2014 dan 2019,Negatif
UCM7uwWQwzqv5LsBvG9noVSA,@BudiRahmatkoto,usut tuntas penjarakan srmua yang terkait di bandara itu.,Negatif
UCn3BeIrWXEVvpajW9mu-xEg,@abdillahputrapratama4204,"Kacau,kacau,mana mungkin pesawat lalu lalang ,banyak pejabat pejabat tidak tahu tentunya yang dilingkungan sekitar ,semua demi apa demi uang ,uang sudah milyran triliunan masih aja takut lapar apa memang rakus",Negatif
UCxgWonPl7G6FSy3jwJ5HJ3w,@achmadolansitompul4512,Bagus pak Sjafri jenderal mentereng....bandara di ubah jadi tempat penyelundupan barang ilegal...hasil tambang transit di situ....harus ada bea cukai di situ dan perangkat lainya....,Negatif
UCYqFEERvv2PxLlprpQ1whfg,@marhalim_harmin,Bukankah pengamanan kita melalui darat udara dan laut.,Netral
UCT8trwOZb5RYkKUGEY6P4Vw,@ridhokadeo3298,Kebobrokan penguasa pada akhirnya terbongkar jg,Negatif
UCUsxnaBjKePvK-mgZZ7rWZA,@dianharun-jy1sm,Ga usa repot tanya saja PK Jokowi . Inilah kalau pemimpin negara dari orang sipil .,Negatif
UCAb3XFXqeeS972C_jD9y6gQ,@AraChan-c2j,"Sudh curiga dr awal, jokowi ini mihak ke asing
Adili Mega, joko, luhut dan antek2nya",Negatif
UCpymlUKXwTT1rpqk9-jgHTg,@RudolfParlindungan,Sdh JELAS INI ULAH SIAPA KAN. TANGKAP PAK jgn dibiarkan PENGKHIANAT hidup bebas,Negatif
UCYM5uFg0F7H-AY0KGRJkJ3w,@urangmanggar,Uhuiiii...menyalaaa cinaaaa...😂😂😂,Negatif
UCwzfBwP6h5r73PwA7MKSx7Q,@ranianuril7153,"Kelakuan Dajjal,matinye klw blm minta maaf sm rakyat2 indonesia g bkl mati2....lo ye pada.....kelakuan nya udh bnr2 g bs d maafkan lawan pak.....jngn takut sm manusia g guna gemees gw lhtnya.",Negatif
UCrCd4zCALaFALih5BqiQttA,@imronRosyadi-g4x,"Knp semua nya baru di persoal  kan,pada kmna kmren2?",Negatif
UCqAPIOlcr-J1tyTPra-Ue_Q,@Supriyanto123-j3d,Ulah Jokowi komunis bebas,Negatif
UCoqYflPyUtSyp1PvrW5QJeA,@Kartonokartono-g3d,"Ini semua karena Jokowi dan Luhut yg ingin merongrong negara kita dg mengobral regulasi yg di kendalikan oleh cina, negara kita akan di jadikan negara komunis.",Negatif
UCzmrBarofnsks8c_NtPTVtw,@felixtengker510,Usut si Opung yg dianggap pahlawan org2 china bisa bekerja di Morowali skalian menjarah kekayaan indonesia,Negatif
UCY2JonJ0T7GZ1h5I4zmci1w,@AndriKendika,bayangkan pesawat membawa narkoboy barang selundupan dan perdagangan manusia lewat Bandara ilegal,Negatif
UCpGDe1tkF94HnZQmfXEJnNA,@DewiZahraini,"PAK PERABOWO ,BAPAK PERESIDEN , BAPAK HARAPAN RAKYAT , ANDA SEORAN TNI MANTAN JENDERAL KENAPA TAKUT SAMA JOKOWIDODO SEORAN SPIL MENANG HASIL KECURANGAN KENAPA TAKUT , APAKAH BAPAK IKUT PUNYA BAGIAN DARI SIMANTAN BOSS PENJAHAT NEGARA ,??????",Negatif
UCpYLfO1c5TltEX9QxyPM1OQ,@yotosudarjo3632,"Aneh...Bandara 6th sudah beroperasi ""Negara Dalam Negara""  kemana  KOHANUDNAS, BIN, KEMHAN, SatTer, Kemenhub, POLRI",Negatif
UC2bP9ENVALOiAheznGEVF8Q,@mtriandhany,"""Dan kita tegakan semua ketentuan tanpa kita melihat latar belakang darimanapun asalnya""
Ini hal yang benar benar harus dituntaskan pak.",Netral
UCVIbNGN46iJrqfNdG-8734A,@YatiKurniati-d9v,wowo kemana aj zaman kowi bukannya dia MENHAN zaman kowi?? napa bru ktauan?,Negatif
UCqSxGPW_OTnxhQfdazjg8mg,@SuratJalan-j7c,Harus.. Benar2 di bereskan tuntas pa Menhan,Positif
UCytwbcMV1b4epT5dSuscXHg,@vence2383,"Kita tggu aj ap tindakan slanjutnya, 
Apa brani.. Heee",Netral
UCgxS8Wk2lbdQyVZqVwXLT7w,@Redmi13c-e8p,"Apa rakyat percaya bahwa petugas berwenang gak tahu keberadaan bandara itu... 😂😂😂😂😂😂😂😂

Apa modelnya kayak pagar laut.. 

TNI dan Polri apa emang gak pernah kesana.. 
Angkatan Udara kita apa emang gk pernah melintasi daerah itu...? 

Ini hal yg sangat memalukan bagi bangsa. Bahwa ada bandara ilegal... 

Apa aja kerjanya mereka yg dibayar negara utk ngurus rakyat..? 

Ini gak aneh,  
Tapi lucu.. 

Apa ia pak RT gak tahu...?",Negatif
UCZIfgj5R2ENI8Qd9ZcPY7mQ,@BgEwin-g4d,"Adili Jokowi srta kroni"" nya",Negatif
UCVg452LJXCZSy0_4zpedaYQ,@KauPinyet,"Hidup Jokowi hidup Jokowi hidup Jokowi, luar biasa Jokowi.",Positif
UCAMCeeJMXnT2I486TkxFUhw,@bet-o1n,"JOKOWO ITU PERUSAK NEGARA
HARUS SEGERA DI ADILI",Negatif
UCDBEtSrD0ZsZbbFr2CwH9aA,@RiduanBms,Suggest pak negara harus tegas hancurkan aja bandara ilegal itu biar ga bisa beroperasi lagi,Negatif
UC1ypi9eCtSJPbM8zTJ2ZBxA,@JibrilJiha,Rakyat tergiur dengan sembako Jokowi,Negatif
UCe-SM_Zk4qoJpykeL3Ovgfg,@Didingduplikat,"SYA MHN TNI HRS MENGAMBIL TINDAKAN YG TEGAS..TERHADAP PARA PEJABAT PIM.JOKOWI...SEBAB KITA BISA MENERKA BAHWA JOKOWI ITU PKI...YG BERUSAHA MENGHIDUPKAN PKI GAYA BARU....MAKANYA ...AD RENCANA BESAR.UNTUK JOKOWI DAN KRONI""NYA",Negatif
UCNZ9bYiYmTUJ1Fvrpd0CNQQ,@suryadii8694,Ayo di tindak,Negatif
UCth6saW9KekWkRfmG_RtP5Q,@rickbram75,APA YG KITA LAKUKAN SEBAGAI MASYARAKAT INDONESIA... APAKAH CUMAN LIAT DUDUK DIEM???,Netral
UC6ICJUPTGGJEd4VGGEo0WDA,@DiktusBen,Safry sukses menampar Prabowo dan jajarannya dengan statemen hoaks negara dalam negara dijamban Prabowo...,Netral
UCdMMIi3Lwig8KsGN5Vps1bA,@samsuriyadi6406,"Ngapain Agus dstu, team termul😮😮",Netral
UCLsPXxaGCi96hg1W7gEOEPg,@derozma3052,Ada mas adam😂,Netral
UCXZCYBH8nr_qLUG5TxnGlSg,@efendibudi3669,"SIKAT AE PAK 
JAGA KEDAULATAN NKRI",Positif
UCkZIoSVLXNmmyVFsdGBuPoQ,@MertiMatanari,"Jangan cuma ditertibkan
Tapi di proses secara hukum, apa tujuannya dan siapa dalangnya serta pendukung²nya",Negatif
UCkhzi1CDfHTndjm8wKVOJeQ,@joenantarebby7429,"Jangan cmn omon2, telusuri tangkap adili smua yg bersalah",Negatif
UCU3aka6KYFqoExV8TiiAj1w,@Rial2424,Itu mas adam ngapain?,Netral
UCy9rQAtTGQM10KyEt6RaNNw,@AhmadRifai-yg1re,Dia lagi dia lagi,Negatif
UCTqwmaN6kw7hWLDNbLuj-9Q,@loemauchanel2458,Bangsa ini dijual kepada oligarki dan bisa saja dipakai utk operasi intelijen asing. Mafia2 juga bisa bebas bermain disitu.,Negatif
UCaiWIIwc2anVLEyOOTKMSFQ,@TBABDULROSID,"Tangkap para penghianat Negara, ternyata PKiI yang di dukung ternaknya Sudah menyusup ke pertahanan Indonesia, Sekarang saatnya bersiih bersih... hati hat dengan dendam PKI, melalui s mulyono dan antek anteknya bebas bergerak.... Negara jangan diem aj, aksi tangkap para pelaku pelakunya..",Negatif
UC7D9xuEUbMhfw3cdmq-5suQ,@keysa_1620,"inilah hebatnya INDONESIA  yg katanya sdh puluhan tahun MERDEKA,kok bisa ADA BANDARA ASING DI INDONESIA,.mata para penegak hukum ditutup amplop berisi lembaran2 merah,masak bisa bandara tdk terdeteksi,bandara lho,bukan arena sabung ayam.",Negatif
UClVHt93_MGDG_ny_3lMYoPg,@jackbro4622,Memang gila negara seperti di jual sebelumnya ada kasus di NTB tambang ilegal emas 3 kg sehari mereka dapat yg bekerja orang asing...untung saja tidak di ikuti kemauannya 3 periode oleh PDIP makanya sakit hati dia sampai menghianati partainya yg bikin dia menjadi orang besar...jadi apa negara ini kalau sampai 5thn lagi berkuasa.... Gusti Allah ora sare biar dia membantu orang dengan menghianati tapi pembalasannya akan di khianati juga buktinya sekarang.....mana jawaban Mentri dulu yg rasa perdana menteri pasti tau dia,Negatif
UC7xGx-TtepMgyrWLl5Fgsag,@gusdeop6715,Begitu masifnya serangan thd jkw.,Negatif
UC8Xjzt3dubjDk9be9tooQeA,@rizkyfj4461,"Penghianat bangsa, tangkap dan adili! Jgn tajam ke bawa tumpul ke atas. Masak negara mau di kadalin sama beberapa kelompok!!!",Negatif
UCmTo5ldWau2ZzID_laHGnmQ,@abcabc-ro1mb,Mudah mudahan tidak jadi Drama baru lagi,Negatif
UC4t1v369YQFSs4Ai6zTe1pA,@MarkisMarkis-t3w,Jokowi hebat bisa mengatur  dan meng acak NKRI. Hebat jokowi,Positif
UCLoFYWTBge2QUuLne70Cauw,@CityPersona,Konyol,Negatif
UC8HCAHSEnjup_5yTGfHkI9g,@ronaserbogor3436,"Jkw yg harus di tuntut , penghianat rakyat dan negara",Negatif
UCXxykiGuQoIjsb5Z7aY824w,@abdulrasid3360,Mulyono.. Mulyono....,Negatif
UC4PKSUjIY8lqYrnoae90IXQ,@kitatahu3837,"Si admin lagi mengiring opini nih, coba cek dulu sebelum buat berita, bandara yang diresmikan pak Jokowi bukan yg sedang viral sekarang, ijazah gak bisa sekarang bandara, mau sampai kapan cari2 kesalahan orang Jing 🐕‍🦺😊",Negatif
UC_SciliZTnd12CmCanDy6Vg,@FarizzzAnjatan,Itulah yg terjadi klw pemimpin rakus akan dunia.tidak memikirkan kelak di akhirat.,Negatif
UCwKzGMmiBlXW5z_UK_f5gww,@hermawanandi2134,Mantaaaap.... Pak Menhan sikaaaaaatttt Pak teruuuuussss cukong cukong dan usir mereka yang telah menguras harta kekayaan tambang kita.... Pak Menhan The best,Positif
UCxj4z4w2olCha0sf4qlZw1g,@InfinixSmart8-tz6nx,Siasat licik sang pengkianat.......jngan kasih ruang pak MENHAN....klo perlu sikat habis siapa bos mereka......pak jngan kendor......,Negatif
UCfI90F3b78kyS4n0Qju8R3g,@muhraehan1289,Jokowi itu pantasnya di hukum sama rakyat kalau hukum sudah kebal,Negatif
UCrHrdPK2Di6wFNvz7yRKvpg,@itsreal1998,kenapa baru sekarang?,Netral
UCTM0W5WqImAV-BSISz640YA,@sampuranfishinghutanrimba4569,"Ternyata kedaulatan  negara udah di injak2,",Negatif
UCHy7QgQBEI5-FhUVAKL915w,@sisakehidupan1329,mengsummon lagi aja ini kebobrokan negara ini,Negatif
UC_HJHnUkq2x39K1i4w-8OZQ,@herlambangImanu-sx3zc,Lanjutkan pak safri,Netral
UCGgcxpDOG110jcsGAXjhs7w,@radenbudiman8423,Mantap pak menhan.....Allohu akbar,Positif
UC_X_304IeFOGVoVgvcMuiOQ,@hermantoherman8619,Musnah kan pak orang2 korup.. Biar bangsa ini berkah pak.. Tolong... Biar rakyat kita bisa merasakan hasil bumi Indonesia..,Negatif
UCFulFODmxRXXh-c891fJpGg,@yasmintri3981,Bandara wanowali milik jokoweee. Dan cs ..penjabat penjabat yg malindungi kluarga jokoweeeekk,Negatif
UCGi3E5AFG-r1aKD2pd7zpLQ,@yudhioelyl3981,Smua ulah muldongo sam lbp cs,Negatif
UCAjX0dwuDjblS9qdNcVzotg,@BaktiDuta,"Jangan sekedar omon omon..negara dalam negara, harus ada yg tanggung jawab dan diproses secara hukum pidana ,kalau nggak ada yg diperoses berarti  cuman sekedar omon2 belaka",Negatif
UCT8zO_O53Y8kqVz_83URR0A,@sultonulibrahim531,"Cuma aneh nya ko mahasiswa, aliansi masyarakat dll... Enggak demo.. Kebobrokan negara 10 tahun lalu",Negatif
UCEcUydMHg1TliytP2sU_J4w,@MrIndulinot,Pertanyaannya menhan sebelumnya siapa????... ga mungkinlah ga tau.... ada drama minta jatah & pengalihan isu lagi aja😂,Negatif
UCZXvW7CLQpZF6mHgHeFUXVg,@official8979,Hidup Jokowi hidup Jokowi,Positif
UCDbPL-fm1n59Wh61qiZbeIQ,@AndiYusuf-g5w,Udh mulai banyak yg masuk angin TNI aj udh bilang tak ada pesawat luar?????? ADA ANGGOTA PSI BERANI KOAR DGN LANTANG MENANTANG / MENYINDIR MENHAN???? HRSKAH RAKYAT DIAM???????,Negatif
